	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_009177065.1					009177065v1_00251					009177065v1_00716	009177065v1_00717	009177065v1_01726								009177065v1_03244	009177065v1_03242	009177065v1_03243	009177065v1_00826	009177065v1_04626,009177065v1_00877,009177065v1_01669,009177065v1_03704,009177065v1_01487,009177065v1_05511			009177065v1_00543				009177065v1_04629	009177065v1_03239	009177065v1_04691,009177065v1_02104						009177065v1_02322	009177065v1_02321	009177065v1_02320	009177065v1_02319	009177065v1_02318	009177065v1_02316			009177065v1_04387,009177065v1_00264	009177065v1_04386	009177065v1_04385	009177065v1_04384	009177065v1_04380,009177065v1_00265	009177065v1_04379,009177065v1_00262	009177065v1_04378,009177065v1_00266	009177065v1_00267,009177065v1_04377	009177065v1_03087,009177065v1_04376,009177065v1_03633	009177065v1_03086,009177065v1_04375,009177065v1_03634	009177065v1_00268,009177065v1_04374		009177065v1_02853																009177065v1_04281,009177065v1_01443	009177065v1_01441,009177065v1_04283	009177065v1_01442	009177065v1_04285,009177065v1_01440	009177065v1_04287,009177065v1_01448	009177065v1_04284	009177065v1_04288	009177065v1_04286,009177065v1_01439
GCA_003977685.1					003977685v1_01114							003977685v1_01407,003977685v1_04895								003977685v1_04369	003977685v1_04371	003977685v1_04370	003977685v1_03112	003977685v1_03759,003977685v1_04031,003977685v1_04945,003977685v1_04612,003977685v1_00766			003977685v1_01161				003977685v1_01691	003977685v1_04374	003977685v1_02309												003977685v1_00238		003977685v1_00211,003977685v1_02373	003977685v1_00212	003977685v1_00213	003977685v1_00214	003977685v1_00218,003977685v1_02372	003977685v1_00219,003977685v1_02375	003977685v1_00220,003977685v1_02371	003977685v1_02370,003977685v1_00221	003977685v1_00960,003977685v1_00222,003977685v1_02650	003977685v1_00961,003977685v1_00223,003977685v1_02649	003977685v1_02369,003977685v1_00224																		003977685v1_02176	003977685v1_02178		003977685v1_02180	003977685v1_02182	003977685v1_02179	003977685v1_02183	003977685v1_02181
GCA_007752535.1					007752535v1_06184							007752535v1_02380,007752535v1_06732				007752535v1_03652,007752535v1_02290	007752535v1_03651			007752535v1_01185	007752535v1_01187	007752535v1_01186	007752535v1_06914	007752535v1_04569,007752535v1_06820,007752535v1_07193,007752535v1_02080,007752535v1_00739			007752535v1_05244				007752535v1_04555	007752535v1_01190	007752535v1_04468					007752535v1_04212	007752535v1_03767	007752535v1_03766	007752535v1_03765	007752535v1_03764	007752535v1_03763	007752535v1_03761	007752535v1_05092		007752535v1_05118,007752535v1_02477	007752535v1_05117	007752535v1_05116	007752535v1_05115	007752535v1_05111,007752535v1_02476	007752535v1_05110,007752535v1_02479	007752535v1_05109,007752535v1_02475	007752535v1_02474,007752535v1_05108	007752535v1_01402,007752535v1_05107,007752535v1_02336	007752535v1_01403,007752535v1_05106,007752535v1_02335	007752535v1_02473,007752535v1_05105																		007752535v1_04998	007752535v1_05000		007752535v1_05002	007752535v1_05004	007752535v1_05001	007752535v1_05005	007752535v1_05003
GCA_903868515.1					903868515v1_02706							903868515v1_01927								903868515v1_04246	903868515v1_04244	903868515v1_04245	903868515v1_03232	903868515v1_03814,903868515v1_00692							903868515v1_01815		903868515v1_01258					903868515v1_02061							903868515v1_02850,903868515v1_02853		903868515v1_02992,903868515v1_03201	903868515v1_03200	903868515v1_03199	903868515v1_03198	903868515v1_03194,903868515v1_02991	903868515v1_03193,903868515v1_02994	903868515v1_03192,903868515v1_02990	903868515v1_02989,903868515v1_03191	903868515v1_03190,903868515v1_02417,903868515v1_04770	903868515v1_02419,903868515v1_03189,903868515v1_04769	903868515v1_02988,903868515v1_03188		903868515v1_03266																903868515v1_04958	903868515v1_04960	903868515v1_04959	903868515v1_04962	903868515v1_04964	903868515v1_04961	903868515v1_04965	903868515v1_04963
GCA_903926465.1					903926465v1_00224							903926465v1_00576								903926465v1_02427	903926465v1_02425	903926465v1_02426	903926465v1_02195	903926465v1_02082,903926465v1_01515							903926465v1_03194		903926465v1_04704					903926465v1_03189							903926465v1_01657,903926465v1_01660		903926465v1_03269,903926465v1_01353	903926465v1_01352	903926465v1_01351	903926465v1_01350	903926465v1_01346,903926465v1_03268	903926465v1_01345,903926465v1_03271	903926465v1_01344,903926465v1_03267	903926465v1_03266,903926465v1_01343	903926465v1_01342,903926465v1_01768,903926465v1_01487	903926465v1_01770,903926465v1_01341,903926465v1_01486	903926465v1_03265,903926465v1_01340		903926465v1_00398																903926465v1_02498	903926465v1_02500	903926465v1_02499	903926465v1_02502	903926465v1_02504	903926465v1_02501	903926465v1_02505	903926465v1_02503
GCA_903872475.1					903872475v1_02409							903872475v1_04037								903872475v1_03189	903872475v1_03191	903872475v1_03190	903872475v1_01750	903872475v1_01157,903872475v1_03626									903872475v1_02362					903872475v1_04825							903872475v1_04866		903872475v1_03343,903872475v1_00802	903872475v1_00801	903872475v1_00800	903872475v1_00799	903872475v1_00795,903872475v1_03344	903872475v1_00794,903872475v1_03341	903872475v1_00793,903872475v1_00729	903872475v1_00730,903872475v1_00792	903872475v1_00791,903872475v1_04417,903872475v1_02959	903872475v1_04415,903872475v1_00790,903872475v1_02960	903872475v1_00731,903872475v1_00789		903872475v1_01675																	903872475v1_03604	903872475v1_03605	903872475v1_03602	903872475v1_03600	903872475v1_03603	903872475v1_03599	903872475v1_03601
GCA_001898385.1					001898385v1_02755							001898385v1_01595,001898385v1_06026		001898385v1_01333		001898385v1_02002,001898385v1_01332	001898385v1_01334,001898385v1_02006			001898385v1_03531		001898385v1_03530	001898385v1_03127	001898385v1_03176,001898385v1_00079,001898385v1_01783,001898385v1_05808			001898385v1_01549				001898385v1_02478		001898385v1_03268,001898385v1_01966	001898385v1_05466				001898385v1_06087,001898385v1_04381									001898385v1_04828,001898385v1_00433	001898385v1_04829	001898385v1_04830	001898385v1_04831	001898385v1_04835,001898385v1_00434	001898385v1_04836,001898385v1_01109	001898385v1_04837,001898385v1_00435	001898385v1_04838,001898385v1_00436	001898385v1_03146,001898385v1_04839,001898385v1_05348	001898385v1_03145,001898385v1_04840,001898385v1_05347	001898385v1_00437,001898385v1_04841																		001898385v1_02972	001898385v1_02974		001898385v1_02976	001898385v1_02978	001898385v1_02975	001898385v1_02979	001898385v1_02977
GCA_011065895.1			011065895v1_02548		011065895v1_00243							011065895v1_01243,011065895v1_04886		011065895v1_05151		011065895v1_05152	011065895v1_05150			011065895v1_04048	011065895v1_04505,011065895v1_04046	011065895v1_04047	011065895v1_04329	011065895v1_03070,011065895v1_01788,011065895v1_00902,011065895v1_01906,011065895v1_02072,011065895v1_04343,011065895v1_01529			011065895v1_02508				011065895v1_03167	011065895v1_01931	011065895v1_05722					011065895v1_04442,011065895v1_04251									011065895v1_03873,011065895v1_02404	011065895v1_03874	011065895v1_03875	011065895v1_03876	011065895v1_03880,011065895v1_02403	011065895v1_03881,011065895v1_01229	011065895v1_02402,011065895v1_03882	011065895v1_03883,011065895v1_02401	011065895v1_02810,011065895v1_03884,011065895v1_05787	011065895v1_02811,011065895v1_03885,011065895v1_05786	011065895v1_02400,011065895v1_03886																		011065895v1_00497	011065895v1_00499		011065895v1_00501	011065895v1_00503	011065895v1_00500	011065895v1_00504	011065895v1_00502
GCA_001610895.1					001610895v1_01131							001610895v1_02942,001610895v1_02294		001610895v1_02653		001610895v1_02034,001610895v1_02655,001610895v1_01667	001610895v1_02652,001610895v1_02038			001610895v1_01429	001610895v1_01427	001610895v1_01428	001610895v1_00715	001610895v1_02469,001610895v1_03448,001610895v1_03986			001610895v1_03946				001610895v1_00075		001610895v1_02445,001610895v1_02858	001610895v1_01518	001610895v1_01519			001610895v1_00457									001610895v1_03847,001610895v1_03166	001610895v1_03846	001610895v1_03845	001610895v1_03844	001610895v1_03840,001610895v1_03167	001610895v1_03839,001610895v1_03163	001610895v1_03168,001610895v1_03838	001610895v1_03837,001610895v1_03169	001610895v1_00759,001610895v1_03836,001610895v1_01271	001610895v1_00758,001610895v1_03835,001610895v1_01272	001610895v1_03170,001610895v1_03834																		001610895v1_00923	001610895v1_00921		001610895v1_00919	001610895v1_00917	001610895v1_00920	001610895v1_00916	001610895v1_00918
GCA_008087625.1	008087625v1_05015		008087625v1_05013		008087625v1_05650							008087625v1_02565,008087625v1_02564				008087625v1_03334				008087625v1_01989	008087625v1_01991	008087625v1_01990	008087625v1_06253	008087625v1_01806,008087625v1_06508,008087625v1_03565,008087625v1_04020			008087625v1_06318				008087625v1_00257	008087625v1_04293	008087625v1_05222	008087625v1_05454	008087625v1_05455			008087625v1_01831,008087625v1_03321,008087625v1_00872,008087625v1_00874									008087625v1_02247,008087625v1_01922	008087625v1_02248	008087625v1_02249	008087625v1_02250	008087625v1_02254,008087625v1_01923	008087625v1_02255,008087625v1_01919	008087625v1_02256,008087625v1_01924	008087625v1_02257,008087625v1_01925	008087625v1_01382,008087625v1_02258,008087625v1_02476	008087625v1_01381,008087625v1_02259,008087625v1_02475	008087625v1_01926,008087625v1_02260		008087625v1_05287																008087625v1_02613	008087625v1_02611		008087625v1_02609	008087625v1_02607	008087625v1_02610	008087625v1_02606	008087625v1_02608
GCA_011064615.1	011064615v1_05958	011064615v1_05384	011064615v1_05956,011064615v1_00979		011064615v1_05078							011064615v1_07135,011064615v1_07134								011064615v1_06632	011064615v1_06634	011064615v1_06633	011064615v1_02236	011064615v1_00140,011064615v1_01284,011064615v1_04861,011064615v1_06110,011064615v1_02737			011064615v1_03577				011064615v1_01910	011064615v1_04575,011064615v1_06938	011064615v1_07258	011064615v1_04987	011064615v1_04986			011064615v1_03033,011064615v1_02284							011064615v1_01253		011064615v1_05698,011064615v1_01169	011064615v1_05699	011064615v1_05700	011064615v1_05701	011064615v1_05705,011064615v1_01170	011064615v1_05706,011064615v1_01166	011064615v1_05707,011064615v1_01171	011064615v1_05708,011064615v1_01172	011064615v1_07032,011064615v1_05709,011064615v1_06614	011064615v1_07031,011064615v1_05710,011064615v1_06615	011064615v1_01173,011064615v1_05711		011064615v1_01804													011064615v1_04028			011064615v1_07184	011064615v1_07182		011064615v1_07180	011064615v1_07178	011064615v1_07181	011064615v1_07177	011064615v1_07179
GCA_000242455.3												000242455v3_05395,000242455v3_07544				000242455v3_05726	000242455v3_05727	000242455v3_00808	000242455v3_01609	000242455v3_00835	000242455v3_00837	000242455v3_00836		000242455v3_00070,000242455v3_05049,000242455v3_04027,000242455v3_00015,000242455v3_02963,000242455v3_07384,000242455v3_00718,000242455v3_02393,000242455v3_04932,000242455v3_04089,000242455v3_00875			000242455v3_05097				000242455v3_00217	000242455v3_03320	000242455v3_01128	000242455v3_01815	000242455v3_01814												000242455v3_02275,000242455v3_05528	000242455v3_02276	000242455v3_02277	000242455v3_02278	000242455v3_02282,000242455v3_05529	000242455v3_02283,000242455v3_05526	000242455v3_05530,000242455v3_02284	000242455v3_05531,000242455v3_02285	000242455v3_01350,000242455v3_02286,000242455v3_05037	000242455v3_01349,000242455v3_02287,000242455v3_05038	000242455v3_05532,000242455v3_02288																		000242455v3_06828,000242455v3_02020	000242455v3_02022,000242455v3_06830	000242455v3_02021	000242455v3_06832,000242455v3_02023	000242455v3_06835,000242455v3_02016	000242455v3_06831	000242455v3_06836	000242455v3_06834,000242455v3_02024
GCA_900129635.1			900129635v1_04432		900129635v1_03774							900129635v1_04845,900129635v1_00003				900129635v1_04574,900129635v1_06645	900129635v1_06646	900129635v1_08304	900129635v1_03350	900129635v1_08329	900129635v1_08331	900129635v1_08330		900129635v1_07466,900129635v1_03535,900129635v1_04390,900129635v1_02263,900129635v1_07093,900129635v1_02947,900129635v1_04244,900129635v1_08380			900129635v1_04440				900129635v1_07745		900129635v1_00876	900129635v1_00081	900129635v1_00080												900129635v1_03067,900129635v1_04931	900129635v1_03066	900129635v1_03065	900129635v1_03064	900129635v1_03060,900129635v1_04932	900129635v1_03059,900129635v1_04929	900129635v1_04933,900129635v1_03058	900129635v1_04934,900129635v1_03057	900129635v1_00637,900129635v1_03056,900129635v1_04373	900129635v1_00638,900129635v1_03055,900129635v1_04374	900129635v1_04935,900129635v1_03054																		900129635v1_06456	900129635v1_06459		900129635v1_06461	900129635v1_06463	900129635v1_06460	900129635v1_06464	900129635v1_06462
GCA_903823815.1												903823815v1_02198,903823815v1_00842								903823815v1_04327	903823815v1_04203	903823815v1_04204		903823815v1_02838			903823815v1_01177				903823815v1_02613		903823815v1_03663	903823815v1_02129	903823815v1_02128												903823815v1_01494,903823815v1_04178	903823815v1_01495	903823815v1_01496	903823815v1_01497,903823815v1_02920	903823815v1_01501,903823815v1_04177	903823815v1_01502,903823815v1_04180	903823815v1_04176,903823815v1_01503	903823815v1_04175,903823815v1_01504	903823815v1_01505,903823815v1_01680	903823815v1_01679,903823815v1_01506	903823815v1_04174,903823815v1_01507																		903823815v1_03013	903823815v1_03011		903823815v1_03009	903823815v1_03007	903823815v1_03010	903823815v1_03006	903823815v1_03008
GCA_903900675.1			903900675v1_00959									903900675v1_00029,903900675v1_00028								903900675v1_00747	903900675v1_00749	903900675v1_00748		903900675v1_02566			903900675v1_03363				903900675v1_03624		903900675v1_03084	903900675v1_01602	903900675v1_01603												903900675v1_02311,903900675v1_03949	903900675v1_02312	903900675v1_02313	903900675v1_02314,903900675v1_00816	903900675v1_02318,903900675v1_03950	903900675v1_02319,903900675v1_03947	903900675v1_03951,903900675v1_02320	903900675v1_03952,903900675v1_02321	903900675v1_02322,903900675v1_03255	903900675v1_03256,903900675v1_02323	903900675v1_03953,903900675v1_02324																		903900675v1_02380	903900675v1_02382		903900675v1_02384	903900675v1_02386	903900675v1_02383	903900675v1_02387	903900675v1_02385
GCA_903917725.1			903917725v1_03051									903917725v1_00891,903917725v1_00890								903917725v1_00353	903917725v1_00355	903917725v1_00354		903917725v1_01460			903917725v1_03957				903917725v1_03639		903917725v1_02054	903917725v1_04303	903917725v1_04304												903917725v1_02898,903917725v1_04428	903917725v1_02899	903917725v1_02900	903917725v1_02901,903917725v1_02235	903917725v1_02905,903917725v1_04429	903917725v1_02906,903917725v1_04426	903917725v1_04430,903917725v1_02907	903917725v1_04431,903917725v1_02908	903917725v1_02909,903917725v1_02175	903917725v1_02176,903917725v1_02910	903917725v1_04432,903917725v1_02911																		903917725v1_02967	903917725v1_02969		903917725v1_02971	903917725v1_02973	903917725v1_02970	903917725v1_02974	903917725v1_02972
GCA_003670885.1																											003670885v1_00947						003670885v1_00664	003670885v1_01957	003670885v1_01956												003670885v1_00991	003670885v1_00992	003670885v1_00993	003670885v1_00994	003670885v1_01413	003670885v1_01412			003670885v1_01009	003670885v1_01010,003670885v1_01299	003670885v1_01298																						003670885v1_01149		003670885v1_01150	003670885v1_01148
GCA_903864405.1												903864405v1_01967								903864405v1_03032	903864405v1_03030	903864405v1_03031		903864405v1_01723																							903864405v1_01572	903864405v1_02333	903864405v1_02334	903864405v1_02335,903864405v1_01575	903864405v1_01571	903864405v1_01574	903864405v1_01570,903864405v1_03220	903864405v1_01569,903864405v1_03219	903864405v1_01913	903864405v1_01912,903864405v1_03129	903864405v1_03130		903864405v1_02704																903864405v1_02538	903864405v1_02540				903864405v1_00448	903864405v1_02794	
GCA_903847635.1												903847635v1_01615																					903847635v1_01920														903847635v1_01528	903847635v1_01527	903847635v1_01526	903847635v1_01896	903847635v1_02134	903847635v1_02133	903847635v1_02132,903847635v1_02278	903847635v1_02131	903847635v1_00491	903847635v1_00492	903847635v1_01594																									
GCA_903910135.1												903910135v1_00298,903910135v1_01291															903910135v1_00101						903910135v1_02200														903910135v1_02046	903910135v1_02047,903910135v1_00596	903910135v1_02048		903910135v1_01532	903910135v1_01531	903910135v1_01321	903910135v1_02255	903910135v1_01590	903910135v1_01591																										
GCA_000186345.1																				000186345v1_01443	000186345v1_01442			000186345v1_00911,000186345v1_03609,000186345v1_00753			000186345v1_00847				000186345v1_03599	000186345v1_01320	000186345v1_02006,000186345v1_02642														000186345v1_00679	000186345v1_00680	000186345v1_00682	000186345v1_00683,000186345v1_00372	000186345v1_03698	000186345v1_03697	000186345v1_03696	000186345v1_03695	000186345v1_03694	000186345v1_03693	000186345v1_03692		000186345v1_00807																000186345v1_00567	000186345v1_00565		000186345v1_00563	000186345v1_00561	000186345v1_00564	000186345v1_00560	000186345v1_00562
GCA_002295795.1										002295795v1_03262	002295795v1_03261	002295795v1_02706,002295795v1_00692,002295795v1_03404		002295795v1_00068		002295795v1_03860					002295795v1_00827		002295795v1_01709				002295795v1_03946					002295795v1_01442	002295795v1_02692,002295795v1_02385			002295795v1_00128,002295795v1_00595	002295795v1_00126	002295795v1_00127,002295795v1_01270	002295795v1_01843		002295795v1_01841	002295795v1_01840	002295795v1_01839	002295795v1_01837			002295795v1_00539,002295795v1_04627	002295795v1_02349,002295795v1_04425	002295795v1_00810,002295795v1_01804	002295795v1_04691,002295795v1_01250	002295795v1_02226	002295795v1_04163,002295795v1_04701	002295795v1_00030,002295795v1_01850	002295795v1_00031,002295795v1_01851	002295795v1_00033,002295795v1_01852	002295795v1_00034,002295795v1_01853	002295795v1_00035,002295795v1_01854														002295795v1_02054	002295795v1_02055			002295795v1_04190	002295795v1_04192		002295795v1_04195	002295795v1_02678	002295795v1_04193	002295795v1_00042	002295795v1_01499
GCA_002686995.1					002686995v1_05448							002686995v1_01799,002686995v1_01801		002686995v1_01468	002686995v1_02169,002686995v1_05707								002686995v1_05560	002686995v1_01786			002686995v1_02895					002686995v1_01458						002686995v1_01305,002686995v1_00029,002686995v1_05083,002686995v1_05081	002686995v1_05229		002686995v1_05231	002686995v1_05232	002686995v1_05233	002686995v1_05235			002686995v1_02794,002686995v1_00187,002686995v1_01813	002686995v1_02793,002686995v1_02934,002686995v1_02578	002686995v1_02928,002686995v1_02493,002686995v1_02792	002686995v1_02791,002686995v1_04412	002686995v1_02790,002686995v1_03208	002686995v1_05381,002686995v1_02789	002686995v1_02788,002686995v1_05689	002686995v1_05688,002686995v1_02787	002686995v1_05687,002686995v1_02786,002686995v1_00143	002686995v1_02785,002686995v1_00144,002686995v1_05686	002686995v1_02784,002686995v1_00145																		002686995v1_03891	002686995v1_03889	002686995v1_03890	002686995v1_03887,002686995v1_03089	002686995v1_03091,002686995v1_01802	002686995v1_03888	002686995v1_03092,002686995v1_00259	002686995v1_03090,002686995v1_00156
GCA_009908785.1										009908785v1_00819	009908785v1_00818												009908785v1_00993								009908785v1_00031	009908785v1_00077	009908785v1_00371,009908785v1_00929			009908785v1_00883,009908785v1_00004			009908785v1_01452,009908785v1_01439	009908785v1_01440,009908785v1_01451	009908785v1_01450,009908785v1_01441	009908785v1_01449,009908785v1_01442	009908785v1_01448,009908785v1_01443,009908785v1_01575	009908785v1_01446,009908785v1_01445,009908785v1_01573			009908785v1_01206			009908785v1_01567	009908785v1_01049	009908785v1_00919																														009908785v1_00589
GCA_016350165.1					016350165v1_01137							016350165v1_02420											016350165v1_03050	016350165v1_01907									016350165v1_04229,016350165v1_00565			016350165v1_03336	016350165v1_03030	016350165v1_03031,016350165v1_00117	016350165v1_04206		016350165v1_04208	016350165v1_04209	016350165v1_04210	016350165v1_04212			016350165v1_03101	016350165v1_00546	016350165v1_04216	016350165v1_00501	016350165v1_00531	016350165v1_00580	016350165v1_00313	016350165v1_00314	016350165v1_00315	016350165v1_00316	016350165v1_00317															016350165v1_02676			016350165v1_03166	016350165v1_03168		016350165v1_03170	016350165v1_02399	016350165v1_03169	016350165v1_00101	016350165v1_03163
GCA_007747445.1					007747445v1_02923							007747445v1_01465											007747445v1_00781	007747445v1_01440									007747445v1_01868,007747445v1_02476			007747445v1_01021	007747445v1_00758	007747445v1_00759,007747445v1_02028	007747445v1_01851		007747445v1_01853	007747445v1_01854	007747445v1_01855	007747445v1_01857			007747445v1_00827	007747445v1_02458	007747445v1_01860	007747445v1_02424	007747445v1_02446	007747445v1_02492	007747445v1_02184	007747445v1_02185	007747445v1_02186	007747445v1_02187	007747445v1_02188															007747445v1_00424			007747445v1_00870	007747445v1_00872		007747445v1_00874	007747445v1_03503	007747445v1_00873	007747445v1_02016	007747445v1_00867
GCA_003552605.1							003552605v1_00641	003552605v1_00648																			003552605v1_01819					003552605v1_00351	003552605v1_00784,003552605v1_00590			003552605v1_02298					003552605v1_00822	003552605v1_00821	003552605v1_00820	003552605v1_00818	003552605v1_01044		003552605v1_02153	003552605v1_01309,003552605v1_02718	003552605v1_00128,003552605v1_01005		003552605v1_02127	003552605v1_01931,003552605v1_01485	003552605v1_02614	003552605v1_02613	003552605v1_02612	003552605v1_02611	003552605v1_02610																								003552605v1_02512	003552605v1_00793
GCA_014873095.1			014873095v1_03867		014873095v1_04317							014873095v1_01409,014873095v1_04184,014873095v1_01410,014873095v1_00912		014873095v1_03245							014873095v1_03520		014873095v1_00964	014873095v1_02151								014873095v1_00698,014873095v1_04516	014873095v1_04570			014873095v1_00270,014873095v1_03908	014873095v1_00272	014873095v1_00268,014873095v1_01585,014873095v1_03049									014873095v1_01667	014873095v1_00060	014873095v1_03671	014873095v1_01397	014873095v1_02066	014873095v1_00400	014873095v1_01027	014873095v1_01026	014873095v1_01025	014873095v1_01024	014873095v1_01023														014873095v1_00234	014873095v1_01286,014873095v1_00235			014873095v1_02863	014873095v1_02865	014873095v1_02864	014873095v1_02867	014873095v1_02378	014873095v1_02866	014873095v1_01764	014873095v1_04502
GCA_016125285.1					016125285v1_02244							016125285v1_03178,016125285v1_04311		016125285v1_02536		016125285v1_00606	016125285v1_00604						016125285v1_02329	016125285v1_00772,016125285v1_03765,016125285v1_03161			016125285v1_00666					016125285v1_03807	016125285v1_01203,016125285v1_03345			016125285v1_02248	016125285v1_00523	016125285v1_03273,016125285v1_01491	016125285v1_01116	016125285v1_01117	016125285v1_01118	016125285v1_01120,016125285v1_01119,016125285v1_01122	016125285v1_01113	016125285v1_01115	016125285v1_03225		016125285v1_02843	016125285v1_04849	016125285v1_03449	016125285v1_02693	016125285v1_02586	016125285v1_03514	016125285v1_01445	016125285v1_01446	016125285v1_01447	016125285v1_01448	016125285v1_01449															016125285v1_03434			016125285v1_02998,016125285v1_01212	016125285v1_02996,016125285v1_01214	016125285v1_01213,016125285v1_02997	016125285v1_02994,016125285v1_01215	016125285v1_04313,016125285v1_01208	016125285v1_02995	016125285v1_01955	016125285v1_01184,016125285v1_01216
GCA_903868035.1										903868035v1_01594	903868035v1_01593	903868035v1_00684,903868035v1_00290		903868035v1_00549						903868035v1_01717	903868035v1_02293,903868035v1_02421	903868035v1_01715									903868035v1_00205		903868035v1_02460,903868035v1_00278		903868035v1_00487	903868035v1_01159			903868035v1_02187			903868035v1_02189,903868035v1_02188			903868035v1_02701		903868035v1_03044	903868035v1_03045	903868035v1_01756	903868035v1_03243	903868035v1_02196,903868035v1_00597	903868035v1_02884	903868035v1_02781	903868035v1_02782	903868035v1_02783,903868035v1_01331	903868035v1_02784	903868035v1_02785				903868035v1_02197											903868035v1_00675										
GCA_903845195.1										903845195v1_01017	903845195v1_01016	903845195v1_03360,903845195v1_03362,903845195v1_00816		903845195v1_02412		903845195v1_00297	903845195v1_00293			903845195v1_03345	903845195v1_00695	903845195v1_03344									903845195v1_02570	903845195v1_01437	903845195v1_02963,903845195v1_01347		903845195v1_01551,903845195v1_01552	903845195v1_01402	903845195v1_01888,903845195v1_03921	903845195v1_01885,903845195v1_03920									903845195v1_00392,903845195v1_02352	903845195v1_00393,903845195v1_02351	903845195v1_01580,903845195v1_02253	903845195v1_02252,903845195v1_00365	903845195v1_00035,903845195v1_01228	903845195v1_01553,903845195v1_00390	903845195v1_02859,903845195v1_01788	903845195v1_02860,903845195v1_01787	903845195v1_02861,903845195v1_01786	903845195v1_00509,903845195v1_02862	903845195v1_02863,903845195v1_00508														903845195v1_01703	903845195v1_01704			903845195v1_02769	903845195v1_02767		903845195v1_02765	903845195v1_02762	903845195v1_02766	903845195v1_03700	903845195v1_02764
GCA_011370245.1										011370245v1_00201	011370245v1_00202	011370245v1_04015,011370245v1_03461		011370245v1_01157																			011370245v1_03547,011370245v1_03495		011370245v1_03658	011370245v1_01532,011370245v1_03893	011370245v1_01531	011370245v1_01524									011370245v1_01059,011370245v1_03654	011370245v1_00982,011370245v1_03655	011370245v1_00760,011370245v1_00899	011370245v1_00898,011370245v1_02791	011370245v1_00067,011370245v1_01153	011370245v1_03860,011370245v1_01061	011370245v1_01655,011370245v1_03099	011370245v1_03100,011370245v1_01656	011370245v1_03101,011370245v1_01657	011370245v1_03102,011370245v1_00472	011370245v1_03103,011370245v1_00473															011370245v1_02111,011370245v1_00528			011370245v1_02772	011370245v1_02774		011370245v1_02776	011370245v1_02778	011370245v1_02775	011370245v1_03463	011370245v1_02777
GCA_013044165.1												013044165v1_01418,013044165v1_01420											013044165v1_00610								013044165v1_02878	013044165v1_02832	013044165v1_02034			013044165v1_02227	013044165v1_00552	013044165v1_00551									013044165v1_00890	013044165v1_00891	013044165v1_02052	013044165v1_00311,013044165v1_01588	013044165v1_01113		013044165v1_01179	013044165v1_01178	013044165v1_01724	013044165v1_01089,013044165v1_01723	013044165v1_01088		013044165v1_02485												013044165v1_01004	013044165v1_01005			013044165v1_00397	013044165v1_00395		013044165v1_00393	013044165v1_00391	013044165v1_00394	013044165v1_02323	013044165v1_00392
GCA_903820405.1										903820405v1_04119	903820405v1_04120	903820405v1_01101,903820405v1_04921		903820405v1_00535						903820405v1_00062	903820405v1_01273	903820405v1_01274,903820405v1_00061	903820405v1_00202													903820405v1_00010	903820405v1_03193										903820405v1_03536	903820405v1_04204,903820405v1_02061	903820405v1_04080,903820405v1_04383	903820405v1_03790,903820405v1_03720	903820405v1_02670	903820405v1_05078	903820405v1_02671,903820405v1_04816	903820405v1_02672,903820405v1_04817	903820405v1_04818,903820405v1_03194	903820405v1_04855	903820405v1_04856,903820405v1_02226																		903820405v1_00908	903820405v1_00910		903820405v1_00912		903820405v1_00911		903820405v1_02628
GCA_014379105.1												014379105v1_00623		014379105v1_02437		014379105v1_02436											014379105v1_01656				014379105v1_01805		014379105v1_01176			014379105v1_02131											014379105v1_00421	014379105v1_03364,014379105v1_03589	014379105v1_01474,014379105v1_00451	014379105v1_03296	014379105v1_03386	014379105v1_02391,014379105v1_03007	014379105v1_02398	014379105v1_02397	014379105v1_02396	014379105v1_02395	014379105v1_02394																		014379105v1_03506	014379105v1_03509		014379105v1_03512	014379105v1_01871,014379105v1_01872	014379105v1_03510	014379105v1_03238	
GCA_011329205.1												011329205v1_00357												011329205v1_00937									011329205v1_00625											011329205v1_00688			011329205v1_00297	011329205v1_00212							011329205v1_01013	011329205v1_01012	011329205v1_00861																					011329205v1_00587	011329205v1_01180			
GCA_903859615.1												903859615v1_03122						903859615v1_03253		903859615v1_03352,903859615v1_02108		903859615v1_03351			903859615v1_03481													903859615v1_00338,903859615v1_01435,903859615v1_03037								903859615v1_02320	903859615v1_01430																						903859615v1_02624	903859615v1_02623	903859615v1_02625,903859615v1_00110	903859615v1_02208	903859615v1_02621	903859615v1_02622	903859615v1_00366	903859615v1_00368		903859615v1_00370	903859615v1_01437	903859615v1_00369	903859615v1_02842	903859615v1_00371
